GameID,Referee,Country,Game,PlayingTime,Goals,Fouls,YellowCards,RedCards,GameTime,,,,,,
1,Nestor Pitana,Argentina,Russia v Saudi Arabia,57,5,32,2,0,01:36:48,,,,Measure,Median,Range
2,Bjorn Kuipers,Netherlands,Egypt v Uruguay,64,1,18,1,0,01:37:21,,,,Median Goals,2,1 to 6
3,Cuneyt Cakir,Turkey,Morocco v Iran,45,1,36,4,0,01:38:07,,,,Median Fouls,28,18 to 43
4,Gianluca Rocchi,Italy,Portugal v Spain,58,6,22,2,0,01:35:58,,,,Median Yellow Cards,3,0 to 8
5,Andres Cunha,Uruguay,France v Ausralia,58,3,35,4,0,01:36:36,,,,,,
6,Szymon Marciniak,Poland,Argentina v Iceland,62,2,25,0,0,01:36:19,,,,,,
7,Bakary Gassama,Gambia,Peru v Denmark,53,1,28,3,0,01:38:10,,,,,,
8,Sando Ricci,Brazil,Croatia v Nigeria,56,2,36,3,0,01:36:04,,,,,,
9,Malang Diedhiou,Senegal,Costa Rica v Serbia,58,1,33,4,0,01:39:42,,,,,,
10,Alireza Faghani,Iran,Germany v Mexico,56,1,25,4,0,01:34:13,,,,,,
11,Cesar Ramos,Mexico,Brazil v Switzerland,62,2,31,4,0,01:38:57,,,,,,
12,Joel Aguilar,Salvador,Sweden v Korea,53,1,43,3,0,01:36:26,,,,,,
13,Jannt Sikazwe,Zambia,Belgium v Panama,55,3,35,8,0,01:36:15,,,,,,
14,Wilmar Roldan,Columbia,Tunisia v England,49,3,22,1,0,01:37:17,,,,,,
15,Damir Skomina,Slovenia,Colombia v Japan,59,3,24,3,1,01:36:12,,,,,,
16,Nawaf Shukralla,Bahrain,Poland v Senegal,55,3,23,3,0,01:36:36,,,,,,
17,Enrique Caceres,Paraguay,Russia v Egypt,53,4,21,2,0,01:34:14,,,,,,
18,Mark Geiger,USA,Portugal v Morocco,53,1,42,2,0,01:38:08,,,,,,
19,Clement Turpin,France,Uruguay v Saudi Arabia,60,1,23,0,0,01:36:07,,,,,,
20,Andres Cunha,Uruguay,Iran v Spain,53,1,28,2,0,01:37:17,,,,,,
21,Mateu Lahoz,Spain,Denmark v Australia,61,2,12,2,0,01:35:17,,,,,,
22,Mohammed Abdulla,UAE,France v Peru,57,1,26,4,0,01:36:33,,,,,,
23,Ravshan Irmatov,Uzbekistan,Argentina v Croatia,52,3,38,7,0,01:36:15,,,,,,
24,Bjorn Kuipers,Netherlands,Brazil v Costa Rica,,,,,,,,,,,,
25,Matthew Conger,New Zealand,Nigeria v Iceland,,,,,,,,,,,,
26,Felix Brych,Germany,Serbia v Switzerland,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,